Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:49:00 IST 2017,,34.8144483,32.17220926,15.37643594,Volvo247,08:97:58:32:69:c6,model=Lenovo,-81
Fri Dec 01 10:49:00 IST 2017,,34.81440381,32.17228106,51.0,Zvi_2.4,10:5a:f7:0f:d5:32,PB2-690Y_device=PB2PRO,-91
Fri Dec 01 10:49:00 IST 2017,,34.814366351753556,32.17226197446892,32.141014502706994,love,14:ae:db:58:73:75,model=SM-G950F_device=dreamlte,-78
Fri Dec 01 10:49:00 IST 2017,,34.81413625,32.17227827,45.0,BezeqFree,62:ee:0c:3d:eb:b9,model=Lenovo,-88
Fri Dec 01 10:49:00 IST 2017,,34.8140369,32.17228483,30.59005383,Chakir,00:12:2a:35:c8:7c,PB2-690Y_device=PB2PRO,-86
Fri Dec 01 10:49:00 IST 2017,,34.81382193547652,32.17232205730656,37.41697240587233,Orit,c4:a8:1d:12:7d:4c,model=SM-G950F_device=dreamlte,-69
Fri Dec 01 10:49:00 IST 2017,,34.813693684730715,32.17235659526282,37.75858536848347,Lahav,b0:b2:8f:01:ad:fe,model=Lenovo,-73
Fri Dec 01 10:49:00 IST 2017,,34.813345157307,32.17238667590665,40.19390185113106,Mevohot_1,20:0c:c8:1b:a2:48,PB2-690Y_device=PB2PRO,-70
Fri Dec 01 10:50:00 IST 2017,,34.813117385343396,32.17208376762239,36.74467850869553,DIR-825-4f83,80:26:89:0d:4f:84,model=SM-G950F_device=dreamlte,-71
Fri Dec 01 10:50:00 IST 2017,,34.813117385343396,32.17208376762239,36.74467850869553,DIR-825-4f83,80:26:89:0d:4f:84,model=Lenovo,-68
Fri Dec 01 10:50:00 IST 2017,,34.813010274038064,32.172446161073495,38.08967940854689,DIRECT-CC-HPDeskJet4670series,70:5a:0f:b2:64:cd,PB2-690Y_device=PB2PRO,-80
Fri Dec 01 10:50:00 IST 2017,,34.812481383334315,32.17251481710375,34.821089098470445,NIPPON_3687,08:97:58:32:d2:98,model=SM-G950F_device=dreamlte,-88
Fri Dec 01 10:50:00 IST 2017,,34.813010274038064,32.172446161073495,38.08967940854689,DIRECT-CC-HPDeskJet4670series,70:5a:0f:b2:64:cd,model=Lenovo,-75
Fri Dec 01 10:50:00 IST 2017,,34.812481383334315,32.17251481710375,34.821089098470445,NIPPON_3687,08:97:58:32:d2:98,PB2-690Y_device=PB2PRO,-80
Fri Dec 01 10:50:00 IST 2017,,34.81242662,32.17253375,42.0,DIRECT-74-HPDeskJet4670series,3c:52:82:af:42:75,model=SM-G950F_device=dreamlte,-59
Fri Dec 01 10:50:00 IST 2017,,34.812012775001214,32.172112748261775,38.149036302524706,varda,c4:12:f5:85:27:c2,model=Lenovo,-86
Fri Dec 01 10:50:00 IST 2017,,34.812481383334315,32.17251481710375,34.821089098470445,NIPPON_3687,08:97:58:32:d2:98,PB2-690Y_device=PB2PRO,-79
Fri Dec 01 10:50:00 IST 2017,,34.812081943829455,32.172414896155125,36.53985057918784,urigil1,a0:ab:1b:5d:c2:60,model=Lenovo,-97
Fri Dec 01 10:50:00 IST 2017,,34.812026396633094,32.172230939623624,30.37137415911496,Helen.,a0:ab:1b:57:cd:42,PB2-690Y_device=PB2PRO,-74
Fri Dec 01 10:50:00 IST 2017,,34.812012775001214,32.172112748261775,38.149036302524706,varda,c4:12:f5:85:27:c2,model=SM-G950F_device=dreamlte,-83
Fri Dec 01 10:50:00 IST 2017,,34.81187369,32.17190615,37.0,ShaniGreen,54:b8:0a:34:68:90,model=Lenovo,-89
Fri Dec 01 10:50:00 IST 2017,,34.81184734608824,32.17178820841816,39.6583715086038,BenAmi_2.4,c4:04:15:60:6a:b5,PB2-690Y_device=PB2PRO,-73
Fri Dec 01 10:50:00 IST 2017,,34.812012775001214,32.172112748261775,38.149036302524706,varda,c4:12:f5:85:27:c2,model=SM-G950F_device=dreamlte,-88
Fri Dec 01 10:50:00 IST 2017,,34.81168874,32.17135803,31.09052557,ronkla2_5,3c:1e:04:07:2a:ff,model=Lenovo,-85
Fri Dec 01 10:50:00 IST 2017,,34.812311247512675,32.1712868794653,33.30888583875395,mayasalon,c4:a8:1d:12:df:c5,PB2-690Y_device=PB2PRO,-89
Fri Dec 01 10:50:00 IST 2017,,34.81165122721805,32.171263825408204,30.320091311172845,mika1,c4:12:f5:fb:c0:3e,model=Lenovo,-77
Fri Dec 01 10:50:00 IST 2017,,34.81133787512496,32.170716387745514,31.262891871305225,Gana7_2GExt,64:d9:54:e4:95:37,PB2-690Y_device=PB2PRO,-90
Fri Dec 01 10:50:00 IST 2017,,34.81133787512496,32.170716387745514,31.262891871305225,Gana7_2GExt,64:d9:54:e4:95:37,model=SM-G950F_device=dreamlte,-88
Fri Dec 01 10:50:00 IST 2017,,34.81117905271656,32.17043615433227,31.985452880865623,shlomi,d8:5d:4c:d9:c4:68,model=Lenovo,-82
Fri Dec 01 10:50:00 IST 2017,,34.811234822415386,32.17052779277119,35.3253518149812,Guymic,14:ae:db:b7:99:2d,PB2-690Y_device=PB2PRO,-78
Fri Dec 01 10:50:00 IST 2017,,34.81109444085028,32.17022110615157,34.586808293426984,stephane,00:24:2b:cf:13:21,model=Lenovo,-82
Fri Dec 01 10:50:00 IST 2017,,34.81117905271656,32.17043615433227,31.985452880865623,shlomi,d8:5d:4c:d9:c4:68,PB2-690Y_device=PB2PRO,-77
Fri Dec 01 10:50:00 IST 2017,,34.811034593925235,32.170149191121496,35.39146212461059,devolo-0f4,30:d3:2d:37:20:f4,model=Lenovo,-80
Fri Dec 01 10:50:00 IST 2017,,34.81094348,32.1699948,29.0,Eric2.4,c4:a8:1d:13:2a:95,PB2-690Y_device=PB2PRO,-87
Fri Dec 01 10:50:00 IST 2017,,34.81091863896086,32.16988572365836,33.84665101691103,Neeman2.4,20:0c:c8:1d:c8:2b,model=SM-G950F_device=dreamlte,-78
Fri Dec 01 10:51:00 IST 2017,,34.81088834,32.16983611,28.0,oved-main_2EX,74:da:38:97:66:9d,model=Lenovo,-77
Fri Dec 01 10:51:00 IST 2017,,34.810811400954954,32.16961472513236,28.56655395303611,oved-main,74:da:39:54:b8:1d,PB2-690Y_device=PB2PRO,-83
Fri Dec 01 10:51:00 IST 2017,,34.81083489,32.16970224,27.0,Li,c0:ac:54:f8:6b:28,model=Lenovo,-80
Fri Dec 01 10:51:00 IST 2017,,34.81078619,32.16957488,23.0,Ronizyc1,48:ee:0c:39:f9:15,PB2-690Y_device=PB2PRO,-92
Fri Dec 01 10:51:00 IST 2017,,34.81076873796656,32.16947598662316,35.05179305270807,Lili,c4:12:f5:f9:5c:7c,model=Lenovo,-86
Fri Dec 01 10:51:00 IST 2017,,34.81076003,32.16948516,23.0,BezeqFree,62:ee:0c:39:f9:16,PB2-690Y_device=PB2PRO,-84
Fri Dec 01 10:51:00 IST 2017,,34.810738661662675,32.16939957888298,27.10473649169773,dlink-A09C,ac:f1:df:76:a0:9c,model=SM-G950F_device=dreamlte,-91
Fri Dec 01 10:51:00 IST 2017,,34.810738661662675,32.16939957888298,27.10473649169773,dlink-A09C,ac:f1:df:76:a0:9c,model=SM-G950F_device=dreamlte,-94
Fri Dec 01 10:51:00 IST 2017,,34.81071870515259,32.16937085614105,30.408069243700115,edimax_5G_A9241C,74:da:38:a9:24:1c,model=Lenovo,-82
